data_abertura,qtd_p1,qtd_p2,qtd_p3,qtd_p4,qtd_p5
2023-01-02,0.0,0.0,1.0,0.0,0.0
2023-01-09,0.0,0.0,1.0,0.0,0.0
2023-01-11,0.0,0.0,2.0,0.0,0.0
2023-01-16,0.0,0.0,1.0,0.0,0.0
2023-01-17,0.0,0.0,2.0,0.0,0.0
2023-01-23,0.0,0.0,3.0,0.0,0.0
2023-01-30,0.0,0.0,2.0,0.0,0.0
2023-02-02,0.0,0.0,1.0,0.0,0.0
2023-02-05,0.0,0.0,1.0,0.0,0.0
2023-02-06,0.0,0.0,1.0,0.0,0.0
2023-02-08,0.0,0.0,1.0,0.0,0.0
2023-02-09,0.0,0.0,1.0,0.0,0.0
2023-02-14,0.0,0.0,1.0,0.0,0.0
2023-02-27,0.0,0.0,1.0,0.0,0.0
2023-03-07,0.0,0.0,1.0,0.0,0.0
2023-03-10,0.0,0.0,1.0,0.0,0.0
2023-03-13,0.0,0.0,1.0,0.0,0.0
2023-03-15,0.0,0.0,1.0,0.0,0.0
2023-03-16,0.0,0.0,1.0,0.0,0.0
2023-03-17,0.0,0.0,1.0,0.0,0.0
2023-03-21,0.0,0.0,1.0,0.0,0.0
2023-03-31,0.0,0.0,1.0,0.0,0.0
2023-04-03,0.0,0.0,1.0,0.0,0.0
2023-04-10,0.0,0.0,1.0,0.0,0.0
2023-04-19,0.0,0.0,1.0,0.0,0.0
2023-04-20,0.0,0.0,1.0,0.0,0.0
2023-04-26,0.0,0.0,1.0,0.0,0.0
2023-04-27,0.0,0.0,1.0,0.0,0.0
2023-05-05,0.0,0.0,1.0,0.0,0.0
2023-05-06,0.0,0.0,1.0,0.0,0.0
2023-05-10,0.0,0.0,0.0,0.0,1.0
2023-05-20,0.0,0.0,0.0,1.0,0.0
2023-05-23,0.0,0.0,1.0,0.0,0.0
2023-05-25,0.0,0.0,1.0,0.0,0.0
2023-05-30,0.0,0.0,1.0,0.0,0.0
2023-06-12,0.0,0.0,1.0,0.0,0.0
2023-06-22,0.0,0.0,1.0,0.0,0.0
2023-07-03,0.0,0.0,1.0,1.0,0.0
2023-07-11,0.0,0.0,2.0,0.0,0.0
2023-07-26,0.0,0.0,1.0,0.0,0.0
2023-07-27,0.0,0.0,1.0,0.0,0.0
2023-08-17,0.0,0.0,0.0,1.0,0.0
2023-08-23,0.0,0.0,1.0,0.0,0.0
2023-08-30,0.0,0.0,0.0,1.0,0.0
2023-08-31,0.0,0.0,2.0,1.0,0.0
2023-09-05,0.0,0.0,2.0,0.0,0.0
2023-09-11,0.0,0.0,0.0,1.0,0.0
2023-09-14,0.0,0.0,2.0,0.0,0.0
2023-09-18,0.0,0.0,1.0,0.0,0.0
2023-09-24,0.0,0.0,1.0,0.0,0.0
2023-09-26,0.0,0.0,2.0,0.0,0.0
2023-09-27,0.0,0.0,1.0,0.0,0.0
2023-09-28,0.0,0.0,2.0,0.0,0.0
2023-09-29,0.0,0.0,2.0,0.0,0.0
2023-10-02,0.0,0.0,1.0,0.0,0.0
2023-10-03,0.0,0.0,1.0,2.0,0.0
2023-10-04,0.0,0.0,0.0,2.0,0.0
2023-10-05,0.0,0.0,2.0,0.0,0.0
2023-10-09,0.0,0.0,1.0,0.0,0.0
2023-10-10,0.0,0.0,1.0,0.0,0.0
2023-10-11,0.0,0.0,1.0,0.0,0.0
2023-10-18,0.0,0.0,1.0,0.0,0.0
2023-10-23,0.0,0.0,1.0,2.0,0.0
2023-10-24,0.0,0.0,2.0,0.0,0.0
2023-10-25,0.0,0.0,1.0,2.0,0.0
2023-10-27,0.0,0.0,1.0,0.0,0.0
2023-11-02,0.0,0.0,1.0,0.0,0.0
2023-11-05,0.0,0.0,1.0,0.0,0.0
2023-11-06,0.0,0.0,1.0,1.0,0.0
2023-11-07,0.0,0.0,1.0,0.0,0.0
2023-11-12,0.0,0.0,3.0,0.0,0.0
